MaterialNumber,Sales,CoGS
569722 005448721869,2985885.25,3095226.77
569601 0011014390800,24033.55,26369.55
569570 007466612600,97361.19,107721.59
569742 008059780868,10485.3,2503.34
569567 004858972868,14586.8,16061.81
569742 005843569868,439163.28,479133.77
569742 005416827868,20718.9,19210.14
569567 005915613838,78736.96,81415.52
569601 0011558854894,75128.08,80889.24
569562 005621206600,649945.94,655394
569742 003378126868,350220.95,355807.63
569742 004794304868,1361057.58,2209293.67
569601 007140171868,58939.77,56075.18
569569 007715568868,258409.15,273139.81
569569 007398818868,87015.45,89501.9
569762 004978246869,473472.93,484481.14
569722 005971173868,90846.21,89020.56
569981 0010790737679,3260.84,3911.19
569981 004772112728,15209.24,15215.02
569762 0012150685800,187698.27,194171.22
569722 005884440868,4364.83,3987.8
569471 008305068868,9577.85,8288.83
NA 007684918681,349873.68,346998.51
569565 006926460868,16276.94,24379.64
569601 007577642868,8916.6,9165.5
569732 008059853868,1633.54,1880.88
569601 008095811868,16687.69,20974.45
570061 006682029868,823161.54,819355.54
569601 005053246868,341890.09,337156.82
570427 006443502679,29353.84,28427.75
569564 008335982868,1664.08,1500
569564 0011778798600,1291719.2,1316987.99
569601 008018039868,12708.17,10274.48
569562 006330327868,34456.59,32259.66
569565 005574552868,194678.69,189322.73
569601 007157329868,11225.54,10365.44
569601 007107445868,189277.93,179985.93
569732 0020765629800,68593.46,66085.4
NA 004359504679,175801.53,157861.92
569722 0010761696038,517508.64,473561.62
569567 0011823238800,177333.57,156166.25
569566 003030887800,149759,126940.01
569565 004857388868,497431.08,442494.71
569981 0011203049887,117950.69,105187.41
569471 004773742868,624.5,526.31
569722 005119637600,997683.04,887338.62
569601 007107684868,172301.82,151522.77
569762 008107874868,7218.82,7660.78
569565 0011973956800,223463.87,194823.21
569722 0010168933808,13120.69,10843.84
569565 005526615838,210652.92,181919.55
569222 003014935739,19050.88,16887.03
569601 007258271868,19565.26,17403.14
569564 0011778797838,134613.21,113244.33
569565 004621176838,42268.41,30088.41
569742 0020761404000,47189.88,38591.78
569471 008065823868,3697.24,2146.07
569601 007577893868,11337.56,10853.2
569742 0020723066000,33642.5,28747.91
569565 004786945868,292923.33,242279.65
569565 004621211868,447054.73,378054.37
570061 004698867681,387155.97,325728.35
569562 005944702838,11612.09,10664.55
569222 003680606852,33341.53,27705.53
569471 006486224868,30383.81,24794.99
569981 004772175728,34239.28,28666.48
569563 005920169838,80867.81,70567.92
569722 0012151788838,253496.94,207536.4
569601 0011558840894,59500.27,48763.15
569565 008089009868,24801.72,20397.15
569742 0020761361000,59614.09,50790.56
569601 005053281868,1272029.04,1031273.7
569762 0012175174000,788109.99,627616.81
570151 005222302679,132593.89,107558.22
569562 007375385868,169797.35,118330.76
569722 005424830868,3358099.8,2650870.04
569601 007577761868,47368.24,41529
569567 007400616838,119617.91,99380.02
569569 007728695868,138513.56,123598.51
569722 0020755354868,1362760.66,1081515.8
569601 007535342868,43816.89,35888.73
569722 0012148746838,57165.56,46773.01
569762 005854986838,75120.6,54753.31
569471 008465468868,1180.01,484.86
569562 0011733761868,4854162.22,3836948.9
569279 007652860889,866752.97,685558.63
569762 006536195868,20755.45,17195.82
569570 005920448838,105332.2,85126.13
569981 004772209728,28759.62,23093.38
569742 005844616868,604858.19,474881.93
569742 004359575868,74537.47,57731.83
569563 006370948868,722137.85,573284.74
569742 008060115868,1831.41,1746.88
569722 0020754746868,1439522.75,1100488.5
569742 008059029868,7810.18,7138.99
569601 007532676868,43767.1,35886.13
569471 006486286868,8093.13,5791.77
569567 004858988868,183334.39,139419.82
569732 008060353868,6070.08,1884.2
569742 005843612868,292831.14,225737.89
569601 007157387868,13943.7,10247.79
570061 004698867868,1104025,830538.43
569562 0011733762600,1675323.82,1256822.69
569752 005993677600,242132.28,176086.81
569722 0012151780838,237171.04,175300.26
569722 008108382868,689.58,87.01
569562 007296476868,184849.99,137154.27
570061 005144819679,25717.41,19268.52
569601 008085921868,58680.62,47714.24
569563 0011733828889,70750.4,53154.91
569565 007030141868,603298.71,438171.73
569564 004487565838,241471.05,182362.78
569566 003305416868,283250.31,209312.48
569601 007140517868,21333.99,16594.14
569471 008465527868,305.89,252.63
569567 007030404868,260072.13,203283.16
569722 004665977868,2087669.56,1613432.04
570151 0011540497868,12310.47,8682.34
569566 005111876868,87689.1,69843.87
569722 0011932337894,278910.28,201880.89
569565 004621185868,436212.38,313183.25
569471 006486254868,27423.15,19789.97
569981 004772158728,46875.37,33620.94
569562 0011733761838,250898.15,177927.55
569742 005890894868,578084.99,421331.64
569722 005355336868,486107.84,333157.18
569222 0011897805838,40374.25,28866.97
569722 008065331868,12227.75,8910.84
569601 007155759868,193426.07,137121.32
569565 008345939838,121026.29,59728.78
569562 0011300845838,179574.2,127699.29
569565 0011878721838,4584.9,3514.41
569742 0020740233000,23567.67,16287.29
569566 004902226878,587050.17,407046.66
569762 008107890868,2496.65,2720.02
569567 0012180567800,146422.04,99680.46
569471 006302580868,5110.91,3870.08
569471 006486278868,11792.47,8556.17
569563 006475276868,1152524.06,799491.66
569601 007144249868,31730.28,22962.15
569762 008254990868,3172.51,5060.61
569742 008060925868,2284.99,1490.33
569601 007541700868,29597.95,19455.58
569563 006448263838,21678.88,15688.59
569601 007144401868,165356.1,108605.23
569732 008059272868,5780.5,5192.21
569732 0020740321800,113973.36,77333.47
569562 0011822780800,182766.86,117732.14
569566 003002440800,249809.04,159347.38
569601 006662174868,1728.29,1007.58
569567 005392462868,231711.31,153511.84
569565 0011878713800,809775.01,532158.95
569762 008107882868,2646.23,2833.56
570061 006884727748,22749.86,13793.71
569742 005110783868,1921169.79,1271053.58
569752 005993669600,295517.17,184691.65
569601 007542010868,36379,25845.72
570131 004892814868,22994.67,15604.41
569981 004773788728,49522.48,31023.56
569981 0011203003880,291887.84,186720.68
569565 004786971868,374904.13,239727.17
569981 004772166728,26784.5,17118.78
569566 005147046868,98452.14,64519.45
570061 006884727694,60242.23,37179.39
569722 007227001868,212067.97,131691.63
569562 005120851868,131718.84,81292.49
569601 008018175868,3599.57,2532.06
569562 005891418868,803070.32,493182.5
569569 007562346868,926125.51,593674.31
NA 0011489920179,109453.36,79968.46
569722 0011101338800,80649.23,51997.77
569563 007030450868,120429.94,73642.34
569565 007460103868,220078.99,132833.19
569471 006302564868,8909.3,5408.96
569742 008255498868,1817.86,872.78
569722 004840510679,66077.14,40920.33
NA 005844057679,60250.6,37286.45
569722 004840502679,86455.57,52913.13
569722 005978301868,529158.41,318401.11
569762 003007841800,2185612.91,1330806.46
569732 0020769050000,81845.27,92181.05
569601 007155818868,61386.09,35227.9
569565 0012003446800,24625.38,13008.13
569601 005174726868,209923.89,131437.73
569722 0011880116894,120767.14,70345.81
569981 0011144922874,164472.21,100168.67
569762 005854995838,60467.23,38672.39
569565 004621168868,367747.5,217161.01
569762 005854995868,585211.28,348655.11
569732 004856291868,91848.78,56675.34
569722 005404116868,54973.31,32039.22
569722 0010160391800,116827.9,65680.77
569722 004711070868,569574.56,319831.59
569563 008445804868,217668.38,115493.96
569563 006515452868,87138.05,49977.26
569222 0011899159734,281037.04,163669.49
569732 003307025868,316136.01,188538.87
569722 0010761695868,2646151.05,1588955.49
569762 0020724213000,5096.75,3021.14
569567 005960001868,388875.41,228879.26
569601 007432380868,40609.46,22435.78
569562 0011731651800,229221.47,126723.33
569565 0011822993800,353335.61,196826.07
570151 0011449820851,204705.13,115721.75
569981 0011203011880,1323941,772570.83
NA 005091278679,382836.3,219783.39
569722 004840451679,145593.36,82374.94
569722 005960369868,128151.21,74459.71
570131 007091988868,43327.25,26325.56
569762 008365130868,313020.19,195602.85
569279 004783310679,153180.36,86280.9
569567 0011823253000,171444.29,95682.77
569722 008394358868,17749.54,9567.75
569567 004919395600,893713.46,493367.52
570131 004892838868,315186.74,177228.8
569732 004593201868,113260.14,60813.59
569762 005953193868,373279.57,203986.45
569562 006690095868,748660.67,418698.25
569565 006926452868,1358760.43,745658.8
569722 006545266868,5618005.75,3170411.03
569222 0011010897851,171260.63,93244.29
569279 007652852889,1418826.7,774145.09
570131 004880144868,518481.08,283538.76
569565 006926452838,109996.6,61307.17
569565 004930276868,395098.25,211036.59
569222 003680997852,117680.29,62102.06
569722 0020754340868,1497939.34,814647.47
569762 0011335472838,60934.96,32349.18
569722 0012148746894,204990.26,102974.8
570061 004627727838,1582653.87,833356.04
569722 005142940868,3616.75,2075.03
569222 0010203088797,76974.6,40323.71
569742 008447950868,4784.01,1015.54
569567 005097173868,33483.1,17998.21
569742 0020769520000,89906.39,46644.85
569569 005946662868,100839.99,52282.99
569742 005843553868,685085.14,351746.72
569279 004632055889,1770867.53,908602.58
569471 006302588868,7394.57,3572.4
570131 004880245868,1158972.25,607843.58
569722 004377696868,152269.88,79676.38
569722 003123636800,1921069.69,984803.98
570061 006884727697,145321.67,67650.04
569732 003307016868,413982.98,212018.1
569762 008049775868,945015.38,487222.07
569742 004343237868,258761.07,130523.48
569279 004459343679,568844.54,291691.45
569565 004621176868,4240452.67,2127118.15
569722 005119561868,4458069.79,2312285.13
569565 004621168838,24019.18,12491.78
569722 005119554600,1044669.64,515488.93
569722 0020740422800,60333.9,30217.28
570131 004892868868,659311.33,328924.56
NA 0011445193849,119043.48,59312.89
569471 008065796868,13907.53,5710.11
569569 007215125868,909671.61,457060.4
NA 0011489904179,113067.82,68997.55
569601 005080098868,117805.34,59934.37
570131 004892860868,99695.71,52480.73
569601 007542018868,22168.02,10720.63
569565 006925709868,889512.32,446050.04
569742 004681943868,6261088.3,3122445
569566 003563442868,1057156.62,527841.33
569601 007574278868,182475.33,90001.36
569222 004900102838,739486.62,361548.57
570131 007914563868,62447.63,30359.06
569471 008465485868,809.14,383.51
569471 008304890868,17162.65,9541.49
569567 005960009868,123551.82,59749.04
569567 007404016868,109704.82,52757.63
569981 0011129024880,322990.19,156936.36
569742 0020740182000,4285322.15,2116600.84
569722 0010126183838,128091.84,63035.94
569732 003049047868,101393.31,50325.29
569722 004840494679,98021.1,47028.82
569762 0020739613000,45933.8,22528.88
569722 0020765443800,215002.9,100354.14
569565 004621152868,422359.36,201352.15
569570 008246236868,100575.1,49002.32
569752 005914849868,2614706.15,1298715.58
569981 0010747293880,1561813.22,740297.67
569752 0011490802800,49307.83,23198.29
569564 0011778797800,6214779.25,3033716.61
569752 005481552868,2890256.45,1411242.42
569601 007207081868,136757.77,66230.72
569762 006602608868,6232891.28,2928669.04
569564 006508315868,343007.46,160816.67
NA 008152936679,26784.74,11472.42
569222 0011899202869,322467.12,147269.02
569742 008447912868,3515.16,781.2
569732 006346815868,65435.76,30483.86
569471 008465438868,9312.99,4411.34
569722 004840526679,273791.87,126328.37
569762 005994305868,120812.33,55356.19
569222 0011899299854,2009698.27,934056.23
569722 005387760868,13471497.15,6249586.95
569722 004882630868,8589681.41,3991213.65
570151 0011420599901,196577.94,92538.24
570151 0011449820838,56996.27,26654.43
569565 005164990868,992875.91,453684.09
569222 006392924679,53054.38,26354.02
569564 007362415868,495867.69,224918.98
569762 0011662896894,1565713.98,708173.74
569565 005804916868,140520.35,66941.98
569222 0011546718851,793417.77,342580.81
570151 005215576838,67272.32,30990.31
NA 005356703781,684449.99,313868.09
569564 006508333868,528445.87,241496.87
569566 005204575868,825906.63,380819.17
569762 005975411868,254666.16,119626.93
569471 006486240868,23738.25,11051.62
569563 0011733893800,832138.54,374003.7
569762 005975403868,238181.09,114126.41
569562 005621205868,4500040,2047504.04
NA 0011358577779,162675.08,73432.6
569601 007685801868,49822.24,25224
569563 006439635838,331438.39,153084.74
569742 004493386868,4175747.49,1884159.53
569762 0020768667000,132372.24,59860.69
570061 006884727681,201835.39,90250.76
569722 005978266868,458387.79,207149.32
569762 005221536868,2648970.99,1188251.74
569565 007311670838,27185.81,12707.66
569570 008246275868,285349.41,135133.54
569732 006336760868,126461.86,56971.11
569562 007478314868,112962.02,50127.55
569722 0020758696000,142361.08,61113.64
569222 0011895812797,207697.93,90525.68
569562 005621205838,1195482.24,520083.11
569570 005897266868,1106679.27,475069.48
569471 006302631868,13287.2,5862.16
569562 005891367868,324311.17,135354.6
569722 007444395868,194714.05,84134.93
569562 007030179868,86922.11,38723.66
569732 003315321868,245002.76,108143.95
569565 004857322868,5400286.15,2317974.34
569562 005034009868,559873.9,249459.19
569722 0020765416800,656040.37,280771.11
569981 0010747448880,1040101.37,450606.66
569762 0010560242838,81244.43,34583.09
569222 0011899167869,123994.12,53549.24
569981 0010747483880,4653478.96,1966100.41
569563 006439567868,1417563.59,597348.97
569564 007129344868,231844.28,97254.6
569601 007431755868,190634.7,83005.8
569732 003315313868,213353.55,91406.34
569562 003007244868,26563754.32,11239238.19
569742 0020755926000,3191496.21,1371009.25
569565 005574552838,109216.94,48778.69
569222 0011381553755,1334569.98,556818.08
569601 007400965868,8162.56,3413.79
569279 004783294679,184334.07,77445.98
569742 0020761369000,92552.46,38233.84
570131 0011624292874,6608935.08,2777034.9
569570 0011974456800,227085.44,94193.02
569722 005174481868,425144.04,180136
569762 008059067868,60037.54,9417.35
NA 005091232679,1521953.35,634323.55
569567 005097146868,165366.3,67823.85
569722 005404019868,202457.04,81746.65
569981 0011129040880,746795.7,310386.94
570131 004883013868,178713.33,72970.63
569566 003054373868,263460.38,106247.57
569566 003304997868,1727526.09,720402.71
569565 0011878729800,285130.62,114224.01
569562 005392478868,305056.96,126622.3
569722 0020739842000,62724.88,25058.49
569722 008059869868,33154.27,7054.57
569762 0020767009000,1076991.79,429810.36
569601 008095916868,5438.95,2446.73
569601 006662028868,114.03,215.25
569567 005097452868,2126389.55,868469.84
569722 005591479868,456253.66,184574.72
569222 0011899159869,485178.94,196553.23
569565 005912053868,118623.39,47396.95
569565 007030509868,372793.34,151031.3
569722 005404011868,90905.4,36786.44
569564 005953298868,976021.44,389335.45
570061 007674024868,442911.85,158201.63
NA 004459325679,191510.56,76163.08
569565 0011878721800,325427.29,128395.42
569563 006448245868,536200.31,213105.33
569222 0011381539838,114762.07,45213.12
569722 0020740430800,1010392.46,405488.31
569722 0011300845994,2202434.21,850101.88
570151 0011449820865,641591.13,251914.11
569762 008060230868,14423.66,5961.21
569564 004490106868,971334.28,386531.81
569722 0012174968838,149584.69,60484.05
569566 003279701868,1024665.84,401763.07
569722 005170856868,29695.5,11832.65
569981 0010889219880,4197221.41,1631038.08
569722 005533791868,1241436.11,481874.8
569567 007397012868,57815.88,27279.43
569562 0012019849800,676625.39,264276.59
569222 0011895812933,286673.26,114463.77
569566 006658393868,1081488.17,423302.77
569222 003680884852,95770.19,36073.08
569570 008246220868,416500.85,160234.25
569722 005404125868,172625.34,65939.91
569562 003008057868,1647429,627744.11
569222 0011205824797,189007.75,71357.78
569567 007363231868,147536.16,55451.84
569222 006336946679,10261328.45,3910225.38
569762 0020740101000,245828.56,94584.96
569565 007029839868,119151.01,44979.99
569981 0010747410880,2011274.67,769279.03
569566 003035025800,979685,366270.18
569563 006448263868,245082.58,98400.3
569564 004487565868,1004497.57,380117.31
569562 007301355868,381412.77,147115.58
569565 0011822912800,2677326.36,1006252.35
569569 005946662838,76904.38,27034.23
569222 004512434734,2370293.37,900749.53
569222 003014902739,3519066.6,1309046.76
569566 004856446878,173509.93,65784.97
569762 008060268868,15800.33,5689.41
569722 005404003868,167469.81,60975.47
NA 0011489949793,180380.89,67441.26
569222 0011381539941,345867.82,128905.67
569222 003680768852,107277.49,38593.05
569762 005174735868,10610704.5,3924110.65
569752 005009577868,172362.25,60358.68
569222 0011546718727,681401.31,249181.32
569567 005095097868,449331.87,162070.57
569762 005994339868,1540999.37,556212.87
569732 006336785868,166110.83,59139.11
569762 008049844868,609640.08,225262.16
569762 005994331868,1552273.25,555281.21
569732 008059126868,5996.6,2918.55
569222 0010400756797,139040.36,49678.04
569762 0011357624838,448812.3,153535.76
569981 0010747394880,1368170.43,494912.72
569981 0010747293881,292996.86,104914.55
569471 008465511868,1720.27,625.7
569981 0010907666880,651960.69,232654.77
NA 006466134679,29303.42,10608.77
569722 005533807868,1662759.85,599646.67
569565 007029102868,2211969.98,777829.32
569981 0011211101880,1038852.48,363989.12
569222 0011381553851,6035498.82,2146241.6
569732 003315295868,368183.93,129584.57
569722 004500976868,184224.9,65761.61
569565 007029156868,1062165.54,368941.19
569732 004515281868,267943.3,95649.73
569732 004493304868,263849.23,93798.3
569222 003681070852,120430.66,41358.59
569565 007146090868,178989.77,64487.77
569762 0020740117000,203273.32,71663.02
569762 005953166868,1319024.17,460980.99
569732 006336827868,82506.11,28873.06
569762 006602584868,3485825.03,1227179.69
569222 0011381553797,491746.98,170985.24
569570 007466585868,1185060.5,442135.03
569564 007032552868,1181979.83,414526.42
569222 0011010897797,307221.8,106254.74
569565 006774168868,2841389.55,976159.37
569732 0020769036000,156674.13,53042.71
569762 0020765799800,1505017.69,529083.57
569601 007156023868,18455.5,5881.62
569722 0011363326894,3331702.62,1135914.8
569981 0011625118880,907562.74,311157.42
569222 004512391718,2467888.48,849933.57
569722 004926840868,1140197.29,389516.42
569222 0011899235869,318522.22,108245.37
569471 006486232868,32650.15,10883.43
569562 005891410868,467176.75,156007.88
NA 003680641852,218732.97,71428.87
569762 005953128868,2282704.11,758682.99
569222 0011546384850,861438.27,287821.47
569722 0011101330800,189493.91,63924.41
569601 007156061868,120503.2,40338.22
569722 005404049868,179409.68,59731.83
569565 0011878662800,759212.28,252108.88
NA 004359477679,180747.06,60252.95
569567 007029551868,193780.36,65451.31
569601 008096054868,40338.11,12956.41
569722 008061121868,3300.9,967.89
569732 008060458868,4895,2237.73
569565 0011878678838,245748.24,80577.35
569565 007029853868,141316.09,45658.19
569222 0011010897869,2607016.2,856525.59
569565 003292724838,105227.74,33772.68
569732 004782593868,141999.78,61657.59
569601 003038426800,140147.71,45660.82
569722 004776575868,156350.06,50206.35
569567 004844817868,901401.34,292428.43
569762 004491748868,4905294.19,1569223.24
569722 008060285868,6614.58,1017.25
569567 005095081868,830795.48,268006.82
569981 0010747465880,1715357.68,545432.15
569722 004491570868,2294930.58,735638.99
569565 0011822936800,4959308,1557734.94
569722 005174473868,3044517.42,1022401.83
569722 005404084868,59935.35,18977.21
569565 007175377868,813752.58,252786.5
569762 008049890868,94869.07,34970.11
569222 004900110838,229889.34,72114.01
569981 0011211109880,1452087.2,451663.16
569562 003187264868,598103.75,190389.96
569732 004503218868,334730.38,102034.96
569722 004659702868,305288.52,93806.35
569222 0011381553869,6004759.49,1889297.52
570131 0012214474778,2499482.17,744203.93
569762 003123650800,1804108.66,556367.25
569565 004690221868,1218101.74,370895.15
569566 004856425878,254395.7,77132.34
569732 008448017868,6337.59,2646.39
570131 005456224868,62396.92,18863.19
NA 008152904679,38841.38,11245.81
569562 007478263868,879623.63,244502.32
569722 005119348868,4528021.29,1406300.22
569762 005953247868,5256634.97,1572085.1
569570 007030090868,567000.65,166056.45
569562 0011932772800,434199.84,128352.15
569565 004690221838,142343.69,42068.87
569722 005950119868,1261597.08,382808.14
569722 004659931868,345485.86,103951.25
569722 004491586868,4162702.37,1239639.48
569562 007301346868,1112026.61,323963.76
570427 006614714679,33104.16,10012.05
569222 0011895812838,480631.13,143173.23
569564 0011778560800,1188135.03,349563.74
569562 005195288868,120040.94,35262.39
569568 005111814868,311925.09,94125.34
569981 004772201728,95642.26,28468.26
570151 0011540489731,612995.49,179904.42
569722 0020740414800,442612.68,130048.9
569762 0020767001000,3025648.06,893867.67
569565 007029118868,1434907.62,426573.59
569222 004512399734,440453.66,130060.62
569762 003336140868,482609.73,142191.03
569222 0011897742838,420190.66,122504.64
569722 005404100868,809094.85,233313.02
569562 006268959852,68264.54,19444.59
569222 0011899307935,749104.27,217678.69
569762 004887662868,7290226.35,2114397.62
569762 005994373868,320137.9,92830.76
569742 0020740271000,87933.12,26542.56
569722 008060955868,11710,2268.15
569471 006302623868,15464.7,4288.36
569722 004882652868,2069295.72,587543.85
569722 005063849868,346218.05,99053.72
569722 003292268868,11090094.08,3248486.23
569722 006409447868,3670495.24,1051853.69
569762 0020753294000,976767.38,275093.31
569562 007029602868,156029.93,45908.34
569567 007030517868,92060.56,18511.28
569567 004919394868,2431835.57,697157.62
569762 005953031868,3468264.95,984149.28
569570 003143425868,246653.89,69571.77
569722 004659872868,1182157.13,335459.33
569742 006772287868,4663205.37,1355665.3
569722 0020769477000,996941.65,276533.5
569722 004659718868,725345.35,205736.04
569471 004773656868,14796.98,4332.39
569762 008060260868,18798.59,5043.73
569471 006486189868,51257.33,14891.85
569762 005994355868,342514.5,95603.65
569762 0020768977000,221150.23,62963.78
569565 005526606838,1554146.88,421021.99
569564 0011778619800,482434.61,134607.6
569722 007444362868,336836.57,95839.56
569564 003048191800,1089257.24,299859.04
